"Oh yes I can","Crosby, David ","1989"
"Trash","Cooper, Alice","1989"
"A night with mr. C","Clemons, Clarence ","1989"
"By prescription only","Choir, Yves ","1989"
"Heart of stone","Cher","1989"
"Runaway horses","Carlisle, Belinda","1989"
"Bridge 2 Far","Bridge 2 Far ","1989"
"Soul provider","Bolton, Michael ","1989"
"Bowling in Paris","Bishop, Steven ","1989"
"Trouble or nothing","Beck, Robin","1989"
"Haunted by real life","Schascle","1990"
"Past to present 1977 - 1990","Toto","1990"
"Eikichi","Yazawa, Eikichi ","1990"
"Wilson Phillips","Wilson Phillips ","1990"
"Tales from the bulge","Landau, Michael","1990"
"Souvenir","Hungate, David","1990"
"Work it out","Horn, Jim","1990"
"Toute ressemblence des personnes aynt","Grimaldi, Bernard ","1990"
"L.A. keyboard project","Garfield, David & Friends ","1990"
"Classic Toto hits","Frankfurter Rock Orchestra ","1990"
"River of love","Foster, David","1990"
"Full contact","Feehan, Tim","1990"
"Changing horses","Cotton, Paul","1990"
"Then and now","Asia","1990"
"Michael Anderson","Anderson, Michael","1990"
"Gerald Alston","Alston, Gerald ","1990"
"Confessions","Zappa, Dweezil","1991"
"For unlawful carnal knowledge","Van Halen","1991"
"Vagabond heart","Stewart, Rod","1991"
"The fire inside","Seger, Bob","1991"
"The way in","Richman, Jeff ","1991"
"Nia Peeples","Peeples, Nia","1991"
"Solid","O'Kane, John ","1991"
"For the boys","Middler, Bette ","1991"
"Rush street","Marx, Richard","1991"
"Private heaven","Kawauchi, Junichi","1991"
"The power of great music, The best of…","Ingram, James ","1991"
"Tomorrow","Hamada, Mari","1991"
"Caretaker of dreams","Goodrum, Randy","1991"
"Rock 'n' roll","Gianco, Ricky E. ","1991"
"Part III","DeFrancesco, Joey","1991"
"Healing the wounds","Crusaders, The ","1991"
"Discipline","Child, Desmond ","1991"
"Love hurts","Cher","1991"
"Raymone Carter","Carter, Raymone","1991"
"One nation","3rd Nation ","1991"
"Olympic matsuri","Yemoto, The ","1991"
"KIngdom of desire","Toto","1992"
"Shadows and light","Wilson Phillips ","1992"
